Hugo_Symbol	Entrez_Gene_Id	GTEX-13NYB-1726-SM-5N9G2	GTEX-QDVN-1626-SM-48TZC	GTEX-ZYT6-2226-SM-5GIC9	GTEX-11TTK-1926-SM-5PNW8	GTEX-ZC5H-1726-SM-5HL7X	GTEX-ZVZP-0926-SM-5GIDB	GTEX-P4QS-1126-SM-3NMD5	GTEX-RN64-1626-SM-48FD7	GTEX-ZYFG-1626-SM-5GZYY	GTEX-N7MS-1626-SM-3LK5F	GTEX-13OW6-1826-SM-5N9F9	GTEX-T5JC-1526-SM-4DM68	GTEX-ZLFU-0926-SM-5P9F8	GTEX-1497J-0826-SM-5NQAJ	GTEX-13112-2126-SM-5GCO4	GTEX-UPIC-1126-SM-4IHLO	GTEX-145MN-0326-SM-5QGQI	GTEX-13O1R-2526-SM-5N9FW	GTEX-11GS4-2326-SM-5A5KS	GTEX-13OVI-1126-SM-5KLZF	GTEX-XPVG-0526-SM-4B65N	GTEX-13OVL-1826-SM-5KLZR	GTEX-QLQW-1626-SM-4R1K1	GTEX-12696-0926-SM-5FQTV	GTEX-1399S-0526-SM-5IJG8	GTEX-147F4-2626-SM-5Q5CS	GTEX-13RTJ-2226-SM-5S2Q1	GTEX-Y5V6-2026-SM-5IFHO	GTEX-NPJ8-2226-SM-3TW8D	GTEX-11OF3-1326-SM-5N9FJ	GTEX-ZYFD-1526-SM-5NQ7T	GTEX-12WSG-0826-SM-5EQ5A
WDR41	55255	759.08	339.14	599.49	1250.98	384.34	429.54	366.09	819.3	642.59	947.83	447.82	842.36	339.14	368.65	599.49	518.15	595.34	708.18	791.35	575.03	457.25	624.99	507.46	753.83	529.06	796.86	620.67	480.04	463.65	629.35	599.49	400.71
FSD2	123722	0.44	0	0.36	0.29	0.79	7.22	1.45	0	0.1	2.61	2.01	1.13	2.32	2.63	0.4	4.21	2.73	0	1.75	0.09	1.11	1.43	1.11	2.39	1.39	0.11	0	0.37	0.04	0.48	0.74	1.28
NAV1	89796	32.13	35.76	70.51	255	71.5	166.73	40.36	356.05	144.01	54.72	86.43	59.55	78.89	40.93	150.17	73.03	38.12	146.03	164.42	220.32	84.04	146.03	52.45	231.32	299.25	231.32	127.89	18.84	121.79	36.79	92.05	45.21
FAM135A	57579	119.26	119.26	197.09	358.54	339.14	147.06	62.56	265.87	206.94	73.03	143.01	206.94	191.67	182.55	186.4	205.5	121.79	540.19	177.53	170.25	146.03	199.85	307.69	208.38	133.36	239.52	218.79	152.28	223.41	125.24	669.92	186.4
RBP7	116362	295.11	181.28	11745.96	2133.97	612.11	595.34	301.33	2796.65	3564.78	3443.31	642.59	255	1572.76	373.81	10733.74	2178.83	429.54	521.76	759.08	1583.71	301.33	6471.02	208.38	2178.83	1857.6	400.71	860.08	305.55	1378.57	1008.9	153.34	389.72
UPK3BL	548644	127.89	507.46	1508.65	91.41	624.99	92.05	567.1	161.02	122.64	237.86	186.4	165.57	1183.45	229.72	1191.69	878.17	339.14	559.28	329.84	262.2	480.04	309.83	141.02	435.55	361.04	271.48	299.25	176.29	743.43	353.59	624.99	836.53
OLFML2A	169611	318.57	31.45	299.25	70.51	99.43	59.13	48.87	2271.4	63.89	23.59	258.57	187.71	44.57	35.5	414.87	38.67	265.87	52.45	91.41	336.79	51.71	1359.57	73.03	40.36	182.55	234.57	164.42	80.01	40.64	595.34	14.78	170.25
SLC16A12	387700	518.15	4481.23	3639.7	72.01	241.19	2004.85	3768.09	1417.35	3103.19	1427.22	4607.24	1991	2609.3	6426.31	3235.01	1259.69	6935.54	49.56	896.64	1781.89	5479.15	3847.29	1331.57	656.11	1427.22	616.37	1015.93	10014.87	130.6	366.09	265.87	466.88
KIAA0895	23366	409.15	178.77	133.36	63	285.03	131.51	190.34	249.73	289.02	303.44	293.07	571.05	136.19	368.65	159.9	346.29	414.87	255	256.78	287.01	473.41	171.45	314.17	116.78	76.17	147.06	113.56	476.71	100.83	185.11	215.77	629.35
NDUFB3	4709	5995.9	3589.58	4903.87	2224.63	2956.17	2335.28	3419.52	1883.54	3395.89	7230.1	3768.09	2997.45	2224.63	3419.52	3589.58	3235.01	3325.99	1923.14	3039.3	1721.16	2976.74	4575.41	3564.78	3690.52	1977.24	2555.58	3103.19	3564.78	4010.71	5183.54	1883.54	3060.45
TTC9B	148014	1.93	2.14	2.89	0.47	5.15	4.24	2.03	7.22	2.51	0.85	1.03	4.28	5.11	2.53	2.66	5.87	1.75	14.78	4.31	3.03	4.17	3.99	2.12	12.36	3.82	2.71	1.85	1.85	1.62	3.11	0.59	4.58
MMP25	64386	1.79	3.99	0.52	7	23.59	20.86	5.54	8.32	20.56	12.27	10.55	33.06	6.67	22.1	4.24	11.04	10.71	22.1	9.63	14.35	7.82	3.96	4.54	5.45	13.42	8.58	4.9	3.5	64.34	7.94	14.67	13.72
UBE2E2	7325	2004.85	791.35	218.79	796.86	384.34	595.34	780.44	423.61	555.41	1977.24	808	884.29	551.56	764.36	269.6	525.39	836.53	486.75	688.78	813.63	612.11	426.57	698.41	281.09	679.29	1073.91	591.22	718.08	665.29	974.5	358.54	603.67
FAM208A	23272	429.54	450.94	733.19	551.56	624.99	543.96	435.55	995	642.59	351.14	563.18	379.04	674.59	624.99	759.08	547.75	460.44	441.64	603.67	954.43	612.11	796.86	738.29	698.41	656.11	915.51	483.38	429.54	466.88	429.54	802.41	587.13
DNAJA3	9093	1304.15	1417.35	842.36	575.03	808	915.51	1313.23	872.1	1277.29	1008.9	808	693.58	708.18	1697.45	848.22	1340.84	941.27	688.78	878.17	660.68	1135.2	1183.45	1378.57	1340.84	780.44	974.5	674.59	1313.23	583.07	1167.14	748.61	1369.04
TTL	150465	148.09	327.56	297.17	151.22	271.48	323.03	242.88	470.14	368.65	248	151.22	127.89	327.56	262.2	454.09	248	242.88	314.17	332.14	312	299.25	351.14	555.41	525.39	358.54	389.72	265.87	221.86	267.73	183.82	214.27	353.59
LRRC16A	55604	236.21	599.49	1407.55	232.94	343.89	928.3	363.56	540.19	860.08	473.41	463.65	167.9	934.76	733.19	1015.93	733.19	860.08	429.54	825	500.46	454.09	1216.75	848.22	775.05	1037.29	819.3	665.29	423.61	212.78	743.43	438.59	457.25
PHOX2A	401	0	3.59	0	0	0	0	0	0	1.22	1.6	0	0	0	1.23	0.56	1.87	0	0	0	1.19	0.91	3.41	0	0.53	0	1.23	0	0	0	0	0	0
DISC1	27185	16.51	9.34	27.84	20.41	16.51	31.22	8	68.07	17.13	7.22	19.82	11.04	40.36	9.41	22.59	15.8	21.01	47.84	31.9	57.89	16.51	32.59	28.86	24.81	43.02	56.28	16.88	1.19	23.76	20.86	17.77	13.12
MUC6	4588	15.68	5.28	6.41	1.73	8.13	10.63	4.82	7.28	3.26	16.03	13.22	16.27	25.72	2.73	2.29	7.82	33.06	5.63	21.47	9.13	3.29	5.63	7.17	11.38	15.8	5.45	77.25	42.11	6.94	3.76	55.1	9.41
SPRR2G	6706	0	0	1.5	0	0.96	0	1.06	0	3.96	1.01	0	0	0.64	0	3.17	2.78	0	0	2.41	0.67	0.59	0	0	2.12	0.57	1.51	0	0.97	0	0	0	0
MTRNR2L12	100463486	2287.2	728.11	780.44	791.35	1721.16	323.03	954.43	647.07	540.19	2271.4	2224.63	4704.07	258.57	1208.34	1388.16	1477.58	791.35	4575.41	2835.7	327.56	780.44	1857.6	703.28	819.3	429.54	1143.1	2133.97	1407.55	10440.2	2047	5517.27	1340.84
OR2C3	81472	0	0	0.39	0	0	0.41	0.45	0.37	0	0	0.55	0.48	0.64	0	0	0	0.65	0	0	1.87	0.68	0	0.4	0	0	1.45	0	0.52	0	0.57	0	0
TMEM178B	100507421	12.45	82.29	5.02	25.17	8.45	212.78	85.22	31	38.95	13.83	22.75	6.73	69.03	111.99	7.57	25.35	54.33	8.38	54.33	264.03	148.09	31	432.53	44.89	166.73	190.34	21.78	43.02	8.58	32.59	1.27	76.17
ITPKC	80271	146.03	327.56	180.02	500.46	503.95	423.61	397.93	159.9	277.2	175.07	149.12	295.11	432.53	361.04	206.94	285.03	346.29	1066.48	273.37	309.83	343.89	149.12	441.64	269.6	334.46	249.73	665.29	281.09	497	172.65	579.04	297.17
CXorf21	80231	7.88	15.34	4.1	5.82	11.82	67.12	14.89	30.56	17.51	14.03	11.47	1.1	57.08	17.13	14.67	27.64	10.16	10.96	29.06	82.29	28.24	22.43	17.25	5.54	88.88	22.75	0.35	6.57	30.78	8.65	2.23	2.14
MAPK14	1432	441.64	483.38	457.25	414.87	616.37	559.28	624.99	536.45	567.1	387.02	376.41	483.38	660.68	780.44	435.55	536.45	708.18	1407.55	406.31	909.17	679.29	438.59	769.69	872.1	780.44	713.11	567.1	486.75	1167.14	351.14	551.56	769.69
