Hugo_Symbol	Entrez_Gene_Id	GTEX-13NYB-1726-SM-5N9G2	GTEX-QDVN-1626-SM-48TZC	GTEX-ZYT6-2226-SM-5GIC9	GTEX-11TTK-1926-SM-5PNW8	GTEX-ZC5H-1726-SM-5HL7X	GTEX-ZVZP-0926-SM-5GIDB	GTEX-P4QS-1126-SM-3NMD5	GTEX-RN64-1626-SM-48FD7	GTEX-ZYFG-1626-SM-5GZYY	GTEX-N7MS-1626-SM-3LK5F	GTEX-13OW6-1826-SM-5N9F9	GTEX-T5JC-1526-SM-4DM68	GTEX-ZLFU-0926-SM-5P9F8	GTEX-1497J-0826-SM-5NQAJ	GTEX-13112-2126-SM-5GCO4	GTEX-UPIC-1126-SM-4IHLO	GTEX-145MN-0326-SM-5QGQI	GTEX-13O1R-2526-SM-5N9FW	GTEX-11GS4-2326-SM-5A5KS	GTEX-13OVI-1126-SM-5KLZF	GTEX-XPVG-0526-SM-4B65N	GTEX-13OVL-1826-SM-5KLZR	GTEX-QLQW-1626-SM-4R1K1	GTEX-12696-0926-SM-5FQTV	GTEX-1399S-0526-SM-5IJG8	GTEX-147F4-2626-SM-5Q5CS	GTEX-13RTJ-2226-SM-5S2Q1	GTEX-Y5V6-2026-SM-5IFHO	GTEX-NPJ8-2226-SM-3TW8D	GTEX-11OF3-1326-SM-5N9FJ	GTEX-ZYFD-1526-SM-5NQ7T	GTEX-12WSG-0826-SM-5EQ5A
GBAS	2631	3060.45	1583.71	4298.64	1870.53	1081.39	1135.2	1151.06	1639.59	2224.63	7966.99	1977.24	2451.44	1572.76	1304.15	3325.99	2133.97	2384.37	819.3	2255.7	1304.15	2163.77	6337.83	1806.78	3982.99	967.76	2133.97	2384.37	1096.5	934.76	1674.06	954.43	1857.6
ART4	420	17.13	61.25	0.71	149.12	14.89	131.51	57.89	4.24	35.76	29.91	43.63	12.74	73.54	21.94	1.39	15.8	7.06	10.47	43.32	169.07	37.05	10	107.38	6.11	111.99	115.97	271.48	9.27	260.38	26.28	9.2	14.14
DIRAS2	54769	154.42	29.91	25.17	52.08	6.57	9.78	63.89	170.25	40.07	12.09	141.02	5.5	4.78	19.25	2.27	34.26	4.94	12.36	106.63	84.04	25.54	2.73	8.25	0.14	27.84	35	13.12	100.83	17.13	43.02	6.67	50.63
GP2	2813	57.89	78.89	400.71	26.67	63.89	108.9	81.14	291.04	220.32	93.35	130.6	112.77	136.19	72.01	348.71	432.53	133.36	25.17	206.94	17.9	93.35	387.02	61.25	244.57	36.53	78.34	102.25	108.9	50.27	91.41	77.79	58.71
KLK6	5653	764.36	68.55	0.97	599.49	226.54	176.29	281.09	33.78	33.78	426.57	371.22	1008.9	41.22	147.06	0.61	307.69	307.69	275.28	341.51	67.12	94.67	17.64	323.03	4.43	113.56	218.79	334.46	262.2	215.77	559.28	389.72	417.77
C7orf33	202865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGBL1	9358	14.78	31.45	40.93	769.69	85.82	679.29	23.42	299.25	325.29	18.56	93.35	11.55	1081.39	16.15	52.82	41.81	32.13	21.78	84.63	769.69	100.83	195.72	13.03	89.51	186.4	486.75	149.12	23.42	15.8	20.86	113.56	21.94
EHD1	10938	1583.71	1066.48	890.44	595.34	802.41	1369.04	1208.34	698.41	1135.2	1844.76	825	403.5	1322.37	2319.15	1159.07	1407.55	1437.15	1963.57	941.27	1268.46	1651	848.22	2004.85	1340.84	1572.76	896.64	669.92	1467.37	633.73	866.07	842.36	1073.91
PIDD	55367	57.08	169.07	172.65	45.21	125.24	135.24	48.52	277.2	124.37	45.21	191.67	115.16	77.25	111.21	281.09	191.67	67.12	67.12	60.82	127.89	123.5	228.13	128.79	178.77	106.63	69.52	91.41	69.03	109.66	62.56	77.25	189.02
DGCR2	9993	514.56	974.5	1417.35	775.05	1030.12	1477.58	1119.56	1407.55	1242.34	387.02	830.75	909.17	1378.57	1175.27	1674.06	1015.93	1498.22	902.89	1199.98	1225.22	1104.13	1199.98	1023	1369.04	1457.23	1208.34	1208.34	1059.11	780.44	967.76	848.22	1199.98
RASSF2	9770	8.92	38.95	41.81	187.71	55.1	217.27	41.81	97.36	95.34	4.31	14.67	54.72	198.47	49.21	85.22	35	124.37	45.21	149.12	291.04	82.87	77.79	61.25	47.84	429.54	63.45	58.71	25.72	49.56	19.25	127	23.08
LCE2A	353139	0	0	0.79	0	0	0	0	0	0	0.92	0	0	0	0	0	1.07	0	0	0	0	0	0.96	0	0	0	0	0	0	0	0	0	0
SMC4	10051	69.52	69.03	152.28	320.8	166.73	124.37	118.43	392.44	226.54	75.64	229.72	226.54	244.57	149.12	180.02	212.78	191.67	177.53	285.03	320.8	381.68	237.86	836.53	189.02	244.57	289.02	141.02	164.42	256.78	60.82	228.13	246.28
ELL3	80237	34.26	105.89	100.83	41.52	161.02	51.71	73.54	101.54	55.1	127.89	31	77.79	72.52	132.44	116.78	75.64	154.42	14.24	31.22	89.51	84.04	96.01	149.12	34.75	162.14	85.22	93.35	102.97	89.51	19.11	72.52	185.11
FAM186B	84070	36.27	12.09	46.18	19.53	3.47	13.72	10.16	23.76	16.63	53.57	14.24	35.76	4.58	6.26	29.27	6.11	12.64	9.93	22.1	18.84	22.1	44.25	9.7	15.22	17.38	16.03	12.36	7.94	4.24	18.97	7.17	27.05
FAM194A	131831	6.11	10.96	6.01	4.28	6.89	6.67	10.39	1.71	10.71	0	0.78	7.69	2.71	16.51	8.99	8	7.06	5.15	2.66	9.41	3.96	9.7	1.5	5.11	1.91	5.45	1	13.22	1.73	0	0	6.62
STK31	56164	2.71	0.27	2.29	1.17	0	2.71	1.91	4.86	1.95	10.47	3.14	1.87	5.02	0.83	5.82	1.35	4.94	9.48	0.79	8.92	6.31	2.14	1.39	15	1.48	5.96	2.76	0	0.72	3.11	0.96	3.82
FAM101B	359845	14.03	103.69	75.11	536.45	185.11	132.44	59.13	211.31	77.79	36.27	85.82	775.05	98.73	129.69	309.83	514.56	283.05	414.87	555.41	420.68	154.42	99.43	100.83	262.2	476.71	521.76	283.05	133.36	74.58	121.79	748.61	208.38
RP11-3B7.1	0	0.04	0.79	0.78	1.25	2.78	2.61	0.36	7.4	3.76	3.38	0	0.41	3.26	0.24	2.71	0	1.19	5.28	1.91	3.89	4.03	0	0.88	0.79	4.28	2.56	2.29	0	8	3.29	2.1	0.54
ATG9A	79065	316.37	785.88	583.07	587.13	830.75	1030.12	947.83	842.36	896.64	277.2	514.56	728.11	1015.93	1015.93	728.11	728.11	896.64	679.29	733.19	1037.29	848.22	559.28	780.44	723.08	1037.29	813.63	896.64	775.05	638.15	500.46	651.58	866.07
C12orf57	113246	4328.55	3690.52	11345.82	13033.07	3847.29	7081.29	2956.17	5831.91	3768.09	10512.82	3690.52	4512.4	7331.05	2367.9	7857.29	3540.14	4210.15	4937.99	3443.31	6250.56	3103.19	7966.99	2664.15	6207.38	7032.37	6250.56	8305.36	3768.09	8134.41	5913.33	3742.05	2935.74
RUSC2	9853	287.01	353.59	363.56	269.6	373.81	583.07	285.03	995	327.56	323.03	595.34	175.07	316.37	511	967.76	599.49	368.65	507.46	384.34	353.59	536.45	473.41	476.71	417.77	444.72	281.09	305.55	264.03	323.03	241.19	177.53	265.87
BEST4	266675	0	11.13	2.01	6.06	2.97	10.24	0.89	15.8	1.03	3.63	0	5.02	15.56	9.13	5.96	11.64	4.54	18.7	1.6	30.12	4.62	2.76	12.55	4.86	12.45	16.03	16.88	2.41	11.21	9.41	0	14.14
RNF169	254225	46.84	30.56	43.32	218.79	125.24	91.41	81.71	229.72	84.04	50.63	96.68	63.89	54.72	77.25	71	95.34	85.82	120.94	121.79	255	87.65	92.05	116.78	97.36	117.6	187.71	72.52	45.53	98.04	58.3	149.12	139.07
NTRK1	4914	20.86	13.93	4.7	6.46	17	51.71	9.7	4.39	7.75	38.67	71	39.5	3.41	13.32	5.92	60.39	16.51	10.16	82.29	20.41	16.27	5.96	8.58	5.19	16.15	15.91	49.91	19.68	18.29	43.94	23.59	21.01
POLR3GL	84265	961.07	547.75	1417.35	819.3	642.59	854.13	435.55	1081.39	769.69	1199.98	633.73	620.67	981.29	463.65	1127.35	607.87	713.11	444.72	733.19	1242.34	525.39	1369.04	571.05	1175.27	1008.9	1242.34	961.07	571.05	1242.34	896.64	511	660.68
HSPA14	51182	366.09	169.07	267.73	473.41	249.73	353.59	199.85	620.67	454.09	265.87	275.28	379.04	395.18	283.05	299.25	376.41	244.57	529.06	414.87	457.25	543.96	376.41	500.46	571.05	389.72	511	323.03	182.55	206.94	242.88	368.65	460.44
PARP12	64761	269.6	239.52	400.71	348.71	343.89	540.19	303.44	733.19	371.22	151.22	511	236.21	583.07	332.14	432.53	397.93	358.54	1304.15	381.68	629.35	432.53	368.65	444.72	507.46	591.22	476.71	309.83	194.36	316.37	301.33	514.56	376.41
OR2A25	392138	0	2.03	0	0.72	0	0	0.49	0	0	0	0	0	0.57	0.82	0	1.97	0	0.79	0	0	0	0	2.16	0	0.6	0	0	0	0	0	0	0
LPHN3	23284	12.36	3.47	176.29	116.78	15.56	82.87	8.92	58.71	193.01	45.85	19.53	15.45	69.03	27.44	309.83	77.25	113.56	0.82	52.08	23.25	51.71	435.55	26.1	96.68	30.12	158.79	22.43	23.42	11.73	37.85	35.5	10.24
WHSC1L1	54904	392.44	307.69	728.11	947.83	392.44	551.56	329.84	1111.82	507.46	312	563.18	358.54	612.11	406.31	703.28	575.03	460.44	392.44	642.59	836.53	490.14	708.18	450.94	728.11	633.73	854.13	460.44	336.79	642.59	457.25	555.41	470.14
OTUD7A	161725	10.24	12.64	10.08	41.52	37.32	18.7	35.25	20.56	34.26	46.18	9.56	65.72	9.48	64.8	18.16	8.19	73.03	8.13	40.36	28.24	31.45	16.03	44.89	28.65	11.91	50.63	31.9	68.07	29.06	29.7	21.78	87.03
HIST1H2BN	8341	36.79	16.63	5.5	4.66	20.86	5.15	7.82	6.78	5.92	14.45	41.22	43.32	8.99	37.32	8.25	23.59	7.82	59.55	12.55	19.82	17.9	33.06	5.11	21.63	13.03	18.29	38.67	12.36	16.75	29.06	15.91	27.84
SPIN2A	54466	3.99	3.47	3.38	14.24	6.67	4.13	0.38	27.64	4.43	1.6	1.75	2.1	5.54	3.29	9.78	10.88	2.43	4.98	5.23	9.48	6.31	4.74	3.44	4.98	3.63	10.39	10.55	1.25	16.03	1.83	3.53	1.64
LRP4	4038	19.25	20.41	118.43	31.9	95.34	103.69	28.86	529.06	77.79	9.34	43.63	67.12	85.82	21.47	133.36	74.58	31.45	35.25	68.07	54.33	24.28	107.38	111.99	98.73	89.51	44.25	38.12	29.7	64.8	32.36	20.86	79.45
RIMBP3C	150221	2.25	0	1.48	0	1.17	2.25	0	0.85	0	0	0	3.63	5.96	0	2.84	2.2	3.35	0	1.16	10.88	1.57	0	5.82	2.71	7.75	0	0	2.1	6.31	0	2.86	1
SCN1B	6324	42.11	441.64	180.02	204.07	96.68	486.75	115.16	64.8	166.73	64.34	34.75	71.5	540.19	84.63	96.01	120.94	154.42	93.35	182.55	555.41	106.63	78.34	152.28	151.22	497	186.4	205.5	94.67	226.54	73.03	57.89	173.85
POFUT1	23509	457.25	567.1	599.49	351.14	395.18	684.02	1023	753.83	860.08	234.57	457.25	540.19	656.11	872.1	591.22	684.02	884.29	463.65	769.69	915.51	616.37	587.13	1015.93	808	775.05	819.3	551.56	872.1	303.44	591.22	343.89	642.59
PLA2G2F	64600	0	0	0	3.69	1.25	0.14	0.48	5.32	2.71	0.54	0.65	0.21	0	0	0	0.13	0.6	3.5	0.58	0	0.91	0.18	0.66	0	0.13	0.13	0.13	0	3.17	0	0	0
DBNDD1	79007	708.18	343.89	162.14	102.97	291.04	412	796.86	57.08	291.04	260.38	83.45	182.55	514.56	1407.55	353.59	379.04	703.28	476.71	251.48	476.71	674.59	239.52	688.78	271.48	616.37	698.41	514.56	387.02	547.75	486.75	38.12	457.25
APOC1	341	305.55	176.29	70.51	327.56	1008.9	490.14	285.03	79.45	82.29	536.45	197.09	358.54	2956.17	237.86	69.52	75.11	157.68	128.79	660.68	1044.52	242.88	16.88	518.15	80.57	2502.97	205.5	1709.26	236.21	212.78	988.12	536.45	102.97
SLC15A1	6564	13.03	934.76	8.25	83.45	470.14	249.73	1685.71	16.88	163.28	1.07	32.36	457.25	518.15	529.06	12.09	77.25	273.37	239.52	6.01	271.48	120.94	7.34	112.77	45.85	76.71	231.32	44.25	507.46	98.04	5.02	1.97	217.27
GPR1	2825	10.96	20.86	32.13	18.03	20.56	4.06	18.7	75.11	28.24	1.27	132.44	17.64	12.27	27.64	64.8	36.53	9.13	31.45	66.18	11.3	9.93	50.63	23.59	43.63	6.21	39.22	17.9	4.46	16.63	26.1	0	8.99
TTC39A	22996	129.69	1909.85	120.1	497	679.29	336.79	866.07	145.02	525.39	301.33	79.45	209.84	476.71	693.58	84.63	624.99	532.74	571.05	232.94	316.37	500.46	102.97	595.34	454.09	260.38	195.72	476.71	563.18	802.41	180.02	417.77	708.18
EIF3K	27335	16727.26	11827.67	18052.61	9740.98	7382.04	8840.04	7695.57	5403.7	11267.44	22535.88	8840.04	8963.45	10883.59	6250.56	10733.74	9409.14	9876.98	7589.61	7911.95	6983.79	7911.95	11745.96	9279.58	11189.6	8963.45	7589.61	12329.98	9740.98	7230.1	12764.83	6887.62	6337.83
TYR	7299	0	0.4	0	1.31	0	0.96	0	0	1.58	0	1.58	2.18	0.29	1.62	0	0	0	0	0	0.89	4.94	0	1.62	0	0.32	2.34	0	0	0	0	0	0
HTRA2	27429	616.37	813.63	1008.9	638.15	764.36	890.44	728.11	848.22	769.69	738.29	579.04	497	743.43	656.11	1073.91	769.69	624.99	579.04	642.59	669.92	651.58	698.41	679.29	688.78	1233.75	1037.29	896.64	441.64	1594.73	890.44	890.44	629.35
TBC1D24	57465	190.34	136.19	567.1	186.4	244.57	329.84	291.04	656.11	460.44	141.02	301.33	220.32	269.6	447.82	363.56	387.02	287.01	83.45	941.27	260.38	237.86	587.13	190.34	351.14	182.55	651.58	209.84	486.75	100.83	579.04	103.69	490.14
KIDINS220	57498	438.59	376.41	825	723.08	483.38	567.1	503.95	1225.22	796.86	262.2	616.37	429.54	500.46	450.94	902.89	583.07	599.49	339.14	813.63	1059.11	674.59	1225.22	555.41	753.83	674.59	1001.93	486.75	624.99	303.44	423.61	500.46	616.37
PFN2	5217	14361.31	1781.89	3257.52	3847.29	4481.23	2997.45	2573.36	4607.24	4639.29	16611.71	5441.3	4481.23	1651	2609.3	2271.4	2061.24	2351.53	1697.45	8538.88	2555.58	2664.15	6745.86	3060.45	2739.08	1037.29	5112.16	4543.8	3018.3	2400.97	13306.94	1639.59	3794.3
ZDHHC22	283576	1	0	0	1.97	0	0	0.48	1.38	0	0	0	0	0.88	0.38	0	0	0.34	0	1.45	0.36	0	0	0.38	0	0	0	0	0	0.82	0	0	0
EXD1	161829	3.63	1.6	0	0	1.87	0	0	0.99	0.71	0	0	1.3	0	3.92	0	0	0	0	0.84	0	2.89	9.93	1.1	1.04	0.69	3.89	1.81	0	0	0	1.81	5.63
DOLPP1	57171	127	291.04	232.94	82.29	244.57	237.86	301.33	228.13	267.73	81.14	167.9	166.73	239.52	395.18	242.88	232.94	246.28	194.36	182.55	186.4	229.72	193.01	271.48	275.28	244.57	217.27	154.42	346.29	116.78	185.11	167.9	237.86
OSBP2	23762	71.5	76.71	153.34	66.65	82.29	68.55	71.5	211.31	145.02	175.07	56.28	71.5	75.64	65.26	111.99	162.14	83.45	96.68	197.09	90.77	121.79	199.85	65.26	100.83	58.71	65.26	135.24	126.12	113.56	85.22	17.25	197.09
C7orf55	154791	1519.15	1127.35	2400.97	373.81	1225.22	1242.34	947.83	559.28	1233.75	5006.93	723.08	1044.52	656.11	1225.22	1709.26	1540.37	1388.16	392.44	974.5	507.46	813.63	1572.76	638.15	988.12	791.35	743.43	1199.98	1628.26	860.08	1551.09	381.68	884.29
RPIA	22934	283.05	151.22	264.03	132.44	208.38	237.86	177.53	229.72	316.37	316.37	154.42	164.42	336.79	185.11	309.83	264.03	242.88	293.07	336.79	221.86	182.55	307.69	373.81	293.07	373.81	323.03	153.34	198.47	265.87	234.57	291.04	140.04
SLCO6A1	133482	1.14	1.53	0.8	0.53	0	0	0	2.56	0.38	0	0	0.2	1.01	0	1.55	3.72	1.91	1.46	0	0.37	1.13	0	0	0.35	0.12	1.35	0	0	0	0	0	1.99
NFIL3	4783	376.41	384.34	226.54	2335.28	1088.92	435.55	511	144.01	412	341.51	435.55	1909.85	842.36	490.14	351.14	285.03	638.15	587.13	909.17	583.07	521.76	275.28	503.95	271.48	802.41	540.19	1350.18	688.78	1757.34	159.9	2434.5	1781.89
FAM227A	646851	3.5	8.99	5.87	8.19	20.71	20.26	8.51	39.5	38.12	0.23	11.13	8.71	21.16	18.97	40.07	21.63	20.56	6.78	21.94	8.65	52.45	18.56	14.45	14.45	7.94	23.59	12.83	3.99	9.78	7.22	6.57	10.47
SLC1A1	6505	309.83	1259.69	406.31	22.75	1001.93	473.41	1277.29	289.02	450.94	193.01	536.45	981.29	591.22	2664.15	305.55	571.05	1806.78	486.75	316.37	1617	1794.29	226.54	1572.76	497	441.64	285.03	187.71	2956.17	49.91	226.54	91.41	2520.38
CARD6	84674	27.44	95.34	162.14	97.36	65.72	371.22	110.43	583.07	301.33	30.56	78.34	69.03	234.57	98.04	316.37	105.89	242.88	144.01	87.65	226.54	87.65	281.09	117.6	381.68	277.2	169.07	91.41	64.8	234.57	50.98	112.77	61.68
GALNT12	79695	48.52	111.99	198.47	164.42	77.25	163.28	76.17	218.79	217.27	83.45	78.34	138.1	185.11	66.18	124.37	115.16	279.14	441.64	217.27	287.01	132.44	121.79	674.59	97.36	144.01	190.34	127	117.6	28.04	87.65	15	205.5
ATP5H	10476	26248.46	13306.94	20310.37	9673.69	9808.75	8247.98	11664.82	5147.73	15180.22	30361.44	12502.12	12676.65	8963.45	10585.95	9606.86	11827.67	13123.73	8718.32	10368.08	6935.54	10883.59	12589.08	12943.04	13399.51	7695.57	8840.04	14361.31	14663.09	13033.07	18304.63	8078.22	10440.2
NSG1	0	84.04	182.55	1.43	14.35	22.75	379.04	185.11	7.28	109.66	48.87	13.42	88.26	152.28	470.14	1.89	16.75	395.18	9.63	46.18	231.32	23.93	8.92	17.51	2.41	42.41	72.01	69.03	52.45	44.89	25.35	4.13	13.42
PFN4	375189	24.28	15.68	94.01	12.36	8.45	31.45	16.63	44.25	31	67.59	33.78	52.45	12.09	19.68	131.51	32.59	14.14	18.84	23.42	28.04	28.65	108.9	18.43	35.5	22.1	29.27	9.48	16.63	14.67	27.84	15.11	24.99
TAMM41	132001	180.02	175.07	273.37	150.17	110.43	177.53	165.57	460.44	220.32	136.19	215.77	137.14	193.01	164.42	346.29	265.87	228.13	202.66	197.09	163.28	186.4	293.07	309.83	258.57	236.21	363.56	178.77	172.65	152.28	163.28	87.03	194.36
KIF18B	146909	0	2.94	0	1.19	9.48	5.73	3.89	2.29	10.16	1.01	0.37	0.27	2.1	2.66	0.58	6.89	6.46	1.19	2.27	1.36	13.03	0.75	40.36	0.54	4.98	3.76	0.72	0.11	3.69	3.2	0	0
SEMA4F	10505	59.13	59.97	127	117.6	76.17	104.42	115.16	281.09	135.24	45.53	106.63	76.17	100.83	70.01	231.32	123.5	212.78	61.68	123.5	101.54	86.43	169.07	161.02	115.97	122.64	208.38	183.82	85.82	141.02	68.55	76.17	150.17
REC8	9985	102.97	607.87	244.57	125.24	3124.78	525.39	470.14	511	131.51	94.67	285.03	878.17	486.75	131.51	255	607.87	547.75	890.44	204.07	351.14	669.92	92.7	633.73	236.21	231.32	211.31	759.08	660.68	316.37	217.27	183.82	429.54
PHYHD1	254295	2739.08	5292.48	4181.07	521.76	1183.45	2163.77	2537.92	1015.93	1313.23	3419.52	2682.69	1037.29	2796.65	1242.34	2090.03	2895.31	2758.13	346.29	748.61	1551.09	2400.97	4512.4	275.28	638.15	974.5	1519.15	2178.83	2875.3	563.18	5147.73	80.01	1359.57
RPS24	6229	76330.98	46662.28	75280.1	129266.49	22225.61	47313.67	30785.28	50011.46	42937.97	103551.29	39785.74	49666	60723.88	27363.16	63302.6	35856.82	40621.74	50359.33	41188.81	48982.22	32315.87	74243.68	59474.18	42937.97	68793.23	65990.84	73221.53	30785.28	100023.92	64186.29	43236.64	30999.42
NT5C3B	115024	1685.71	878.17	2875.3	1662.49	1001.93	954.43	1259.69	1757.34	1268.46	2417.67	1175.27	1008.9	1359.57	1417.35	2271.4	1923.14	1183.45	769.69	1151.06	1208.34	1183.45	2209.26	1143.1	1359.57	896.64	1477.58	1721.16	921.88	1950	2417.67	1340.84	1709.26
VRK1	7443	172.65	130.6	217.27	105.15	89.51	164.42	121.79	138.1	180.02	275.28	138.1	82.29	218.79	146.03	173.85	189.02	146.03	215.77	175.07	246.28	224.97	199.85	305.55	236.21	204.07	187.71	136.19	161.02	123.5	206.94	67.59	139.07
TNFRSF12A	51330	555.41	2119.22	1388.16	5112.16	3716.2	4123.49	3901.01	1081.39	3419.52	389.72	256.78	1651	1977.24	5672.41	1286.18	5995.9	4512.4	11584.24	3639.7	934.76	4066.71	511	5112.16	7642.41	1806.78	2193.99	4123.49	1104.13	1143.1	285.03	3325.99	4607.24
IFT27	11020	1378.57	1008.9	1806.78	633.73	759.08	769.69	743.43	1457.23	988.12	1896.65	1081.39	713.11	884.29	518.15	1407.55	1044.52	836.53	218.79	796.86	775.05	633.73	1066.48	890.44	1001.93	583.07	896.64	1037.29	674.59	819.3	1225.22	447.82	551.56
JDP2	122953	571.05	325.29	629.35	138.1	441.64	1037.29	368.65	1388.16	444.72	947.83	595.34	447.82	1199.98	341.51	1322.37	339.14	490.14	395.18	733.19	854.13	423.61	842.36	563.18	753.83	1487.87	473.41	507.46	180.02	802.41	435.55	1651	154.42
PEG3	5178	51.71	27.84	191.67	149.12	57.49	137.14	76.71	529.06	170.25	33.3	332.14	112.77	36.53	27.05	170.25	60.39	81.14	25.17	87.65	129.69	111.99	312	98.73	301.33	103.69	214.27	39.5	133.36	100.13	69.52	137.14	102.25
AKT1	207	934.76	1457.23	1651	1628.26	2075.59	2224.63	1639.59	2335.28	1923.14	1369.04	825	1794.29	1733.13	1572.76	2209.26	1977.24	1674.06	2468.49	1794.29	2032.85	1844.76	1685.71	2367.9	3103.19	2758.13	2240.11	1991	1175.27	1498.22	1167.14	2271.4	1769.57
ABTB1	80325	409.15	426.57	656.11	684.02	595.34	753.83	406.31	896.64	336.79	426.57	591.22	518.15	981.29	387.02	988.12	624.99	483.38	314.17	403.5	954.43	470.14	780.44	432.53	299.25	921.88	693.58	967.76	295.11	1023	532.74	297.17	543.96
MEDAG	84935	5.96	15	156.59	884.29	27.64	165.57	36.53	214.27	129.69	9.56	25.17	16.75	228.13	27.64	137.14	124.37	59.97	241.19	36.01	249.73	72.52	82.87	25.35	271.48	483.38	165.57	146.03	22.59	53.57	9.93	633.73	34.02
GLA	2717	503.95	693.58	642.59	665.29	703.28	698.41	1216.75	684.02	698.41	198.47	503.95	518.15	753.83	480.04	389.72	514.56	629.35	1175.27	909.17	500.46	599.49	470.14	813.63	860.08	486.75	529.06	536.45	547.75	438.59	490.14	563.18	1066.48
AC016586.1	0	0	1.03	1.99	0.79	0	3.08	2.18	2.14	3.29	1.97	1.38	1.17	1.69	0.92	0	1.51	0.56	0.39	1.25	5.19	3.35	0.72	0	0	4.9	2.73	0.59	0.87	1.07	0.47	0	1.35
AL021920.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.82	0	0	7.11	0	5.19	0	0	0	0	0	0	0	0	0	0
ZCCHC17	51538	947.83	460.44	961.07	981.29	753.83	693.58	633.73	651.58	941.27	1151.06	638.15	872.1	698.41	540.19	723.08	629.35	780.44	1111.82	748.61	902.89	656.11	872.1	967.76	1208.34	669.92	1051.79	941.27	599.49	854.13	872.1	612.11	860.08
NET1	10276	1407.55	1208.34	507.46	1135.2	503.95	363.56	1447.15	567.1	607.87	848.22	1369.04	915.51	603.67	1159.07	825	1340.84	1529.73	1023	813.63	1191.69	1001.93	1529.73	463.65	341.51	1268.46	2133.97	136.19	2485.67	138.1	518.15	356.05	1340.84
GALP	85569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP5M1	55745	802.41	825	599.49	271.48	575.03	423.61	620.67	490.14	1378.57	1119.56	921.88	713.11	429.54	941.27	599.49	808	995	432.53	890.44	693.58	928.3	785.88	1111.82	1277.29	417.77	802.41	473.41	1208.34	420.68	665.29	497	1427.22
TP53BP1	7158	307.69	299.25	403.5	599.49	651.58	392.44	368.65	759.08	470.14	220.32	460.44	211.31	309.83	334.46	470.14	423.61	351.14	232.94	543.96	285.03	395.18	423.61	435.55	368.65	363.56	473.41	441.64	348.71	543.96	346.29	567.1	376.41
EDA	1896	35.25	100.13	80.57	42.71	47.5	59.13	105.15	67.59	111.21	28.45	110.43	130.6	70.51	65.26	131.51	74.58	100.83	32.59	79.45	108.9	89.51	90.14	109.66	128.79	73.54	56.68	52.08	90.14	19.68	47.17	9.34	127
C21orf67	0	57.49	66.18	125.24	23.93	40.07	68.55	33.06	53.95	77.25	159.9	51.71	33.3	54.72	55.49	80.57	83.45	63.89	42.41	46.5	81.71	61.68	100.83	89.51	76.71	86.43	40.64	55.1	40.36	21.94	81.14	9.13	36.27
SLC25A17	10478	587.13	629.35	802.41	486.75	351.14	571.05	532.74	575.03	718.08	551.56	379.04	409.15	723.08	616.37	733.19	836.53	738.29	450.94	571.05	470.14	612.11	679.29	698.41	802.41	514.56	708.18	473.41	656.11	363.56	571.05	438.59	470.14
CHST15	51363	44.25	138.1	218.79	728.11	109.66	928.3	100.13	1127.35	409.15	46.18	31.22	56.68	866.07	108.9	343.89	115.97	251.48	139.07	190.34	842.36	212.78	397.93	224.97	511	819.3	693.58	397.93	43.02	420.68	96.01	283.05	95.34
GDF15	9518	10296.45	3847.29	48982.22	26614.89	6250.56	2303.12	6745.86	1936.53	2255.7	1745.2	12676.65	1583.71	2664.15	2520.38	3690.52	9876.98	6561.36	2193.99	43236.64	995	3349.13	10014.87	4298.64	6983.79	1225.22	3768.09	5255.91	2591.27	759.08	12076.21	10014.87	5711.87
CC2D2B	387707	0.55	3.66	10.31	1.91	3.82	5.06	2.2	15.45	4.03	3.11	10.88	2.16	12.55	2.14	7.28	4.9	1.11	0.16	2.36	3.59	4.28	12.55	0.37	2.61	5.11	5.82	2.07	1.2	1.01	3.11	0	0.64
TMX3	54495	182.55	239.52	363.56	353.59	303.44	373.81	246.28	525.39	417.77	78.89	397.93	239.52	409.15	397.93	341.51	387.02	395.18	660.68	376.41	728.11	460.44	507.46	444.72	493.56	441.64	470.14	264.03	384.34	183.82	202.66	341.51	529.06
FRK	2444	281.09	314.17	162.14	158.79	279.14	151.22	460.44	71.5	363.56	309.83	153.34	176.29	135.24	339.14	55.89	325.29	267.73	208.38	339.14	199.85	265.87	209.84	256.78	137.14	115.97	325.29	194.36	466.88	151.22	232.94	253.23	395.18
IYD	389434	1447.15	239.52	41.81	0.52	155.5	102.25	248	14.14	88.88	860.08	947.83	954.43	38.67	348.71	10.55	170.25	189.02	137.14	126.12	156.59	406.31	134.3	105.89	8.85	58.3	163.28	86.43	384.34	76.17	733.19	36.27	285.03
SAPCD2	89958	21.47	24.28	11.21	50.27	32.13	38.67	35.25	8.32	44.25	17.25	19.53	29.7	16.15	14.24	9.63	36.79	28.04	6.78	71.5	22.26	31.9	10.47	197.09	2.51	21.32	37.59	16.39	53.57	11.73	43.32	0.82	17.64
